title,author,publisher,date,format,contrib_personal,contrib_corporate,location
Abandoned tales /,"Lee, Michael J. (Michael Jeffrey)","Small Fires Press,",[2009],[22] p. : col. ill. ;,"Weaver, Cherie. Kerksieck, Friedrich.",Small Fires Press.,SOUTHERNCV PS3612 .E346 A63 2009
"I, NE : iterations of the junco /",,"Small Fires Press,",[2009],[36] p. : ill. ;,"Chávez, John M., 1973- Gannon, Megan. May, Rachel. Ware, Joshua. Perry, Meaghan. Kerksieck, Friedrich.",Small Fires Press.,SOUTHERNCV PS595 .J86 I13 2009
"Live, from the delay /","Flaherty, Ryan.","Small Fires Press,",[2009],[12] p. : facsims. ;,"Kerksieck, Friedrich.",Small Fires Press.,SOUTHERNCV PS3606 .L344 L58 2009
Some bridges migrate /,"Pierce, Scott, 1975-","Small Fires Press,",[2008],[11] p. : col. ill. ;,"Weaver, Cherie. Kerksieck, Friedrich.",Small Fires Press.,SOUTHERNCV PS3616 .I358 S66 2008
Cob webs /,"Swan, Laura.","Small Fires Press,",2007.,[8] p. : chiefly ill. ;,,Small Fires Press.,SOUTHERNCV PN6727 .S936 C63 2007
When we broke the microscope /,"Cohen, Julia.","Small Fires Press,",2007],32 p. : col. ill. ;,"Svalina, Mathias. Weaver, Cherie. Kerksieck, Friedrich.",Small Fires Press.,SOUTHERNCV PS3603 .O366 W44 2007
"From Khunk to Chunk® : an apology, or, at the very least, confession enumerating the author's activities aiding the promotion of a product illegal & dangerous though at times sold on legitimate white markets, along the way explaining the history of a trademark and why it has remained popular to this day /","Gould, Erasmus.","Small Fires Press,",[2008],10 p. : 1 ill. ;,"Chambers, Alex (College teacher) Weaver, Cherie. Kerksieck, Friedrich. Clark, Amanda (Papermaker)",Small Fires Press.,SOUTHERNCV PS3607 .O8846 F76 2008
The wheat wars : an historical sketch of the rise & fall of wheat in the twentieth century : with special attention given to the role of the author in the adventures described herein /,"Gould, Erasmus.","Small Fires Press,",[2008],14 p. : 1 ill. ;,"Chambers, Alex (College teacher) Weaver, Cherie. Kerksieck, Friedrich. Clark, Amanda (Papermaker)",Small Fires Press.,SOUTHERNCV PS3607 .O8846 W48 2008
It wasn't Little Rock /,"Sligh, Clarissa T.","Visual Studies Workshop Press,","2005, c2004.","[74] pages : ill. (some col.), ports. (1 col.) ;",,Visual Studies Workshop.,SOUTHCV-OV LC214.22 .V8 S59 2005
Voyage(r) : [tourist map to Japan] /,"Sligh, Clarissa T.","Nexus Press,",2000.,1 v. (unpaged) : ill. ;,"Freeman, Brad, 1951-",Nexus Press.,SOUTHERNCV N7433.4 .S58 T68 2000
